country,year,n.Districts,Uniform.LastDigit,DistanceAllPairs,DistanceLastPair,Mean.FirstDigit,Mean.SecondDigit,Benford.SecondDigit,lagged.polity,fraud.democracy,inequality,fract,urban,turnout,avgmag,demtenure,gdpchange,commission,instability,lagged.fraudscore
statesunited,1962,955,0.025158302,3.152654867,2.980088496,4.482722513,4.095132743,0.006349753,10,1,34.8,0.491,70.72,NA,1,153,2.55,0,0,-0.406266686
belgium,1991,273,0.026848609,3.322344322,3.21978022,3.355311355,4.135531136,0.021379125,10,1,22.84,0.567,96.46,92.71,7.07,138,3.14,0,0,-0.406266686
italy,2001,2509,0.004039503,3.262654444,3.160621762,2.950179354,4.459545636,0.010174286,10,1,33.35,0.04,67.3,81.44,1.26,53,3.71,0,0,-0.406266686
statesunited,1954,896,0.031768176,3.328253224,3.114302462,4.532366071,4.43024619,0.031646261,10,1,35.66,0.491,66.52,NA,1,145,NA,0,0,-0.406266686
lankasri,1960,170,0.031141869,3.582352941,2.991176471,3.817647059,3.847058824,0.063761457,7,1,39.7,0.428,16.43,75.9,1,10,NA,2,0,-0.406266686
honduras,1997,90,0.148148148,3.855555556,3.427777778,3.133333333,4.044444444,0.069079734,5,1,55.3,0.185,43.95,71.83,7.11,16,3.6,2,0,-0.406266686
dominicanrepublic,1970,146,0.046162507,3.534246575,3.140410959,2.952054795,4.397260274,0.025360659,0,1,47.39,0.387,40.21,NA,2.74,NA,10.89,2,1,0.491336559
denmark,1950,139,0.025309249,3.683453237,3.302158273,3.352517986,3.985611511,0.089051776,NA,1,42,0.128,67.98,81.87,4.57,35,NA,0,0,-0.406266686
australia,1951,286,0.033057851,3.272727273,3.181818182,2,4.377622378,0.026973211,10,1,28.75,0.149,77.47,93.79,1,50,NA,2,0,-0.406266686
jamaica,1983,13,0.597633136,3.615384615,3.346153846,3.153846154,3,1.190417183,10,1,NA,0.166,47.75,2.73,1,24,2.07,2,0,1.563078483
statesunited,1958,885,0.008177727,3.312206573,3.093896714,4.605649718,4.321596244,0.013946394,10,1,33.92,0.491,68.84,NA,1,149,NA,0,0,-0.406266686
japan,1983,563,0.027892318,3.21669627,3.054174067,4.014209591,4.076376554,0.011328754,10,1,25.8,0.012,76.5,67.94,3.93,36,3.38,1,0,-0.406266686
honduras,1993,72,0.138117284,3.347222222,2.993055556,3.222222222,4.166666667,0.08288379,1,1,52.63,0.185,41.95,64.97,7.11,12,5.62,2,0,-0.406266686
belgium,1987,276,0.020531401,3.355072464,3.175724638,3.68115942,4.123188406,0.033769021,10,1,23,0.567,96.11,93.38,7.07,134,1.82,0,0,-0.406266686
switzerland,1955,96,0.059027778,3.208333333,3.296875,3.40625,4.75,0.127041837,10,1,NA,0.575,69.27,68.71,7.84,107,NA,0,0,-0.406266686
sweden,1952,164,0.051457466,3.357142857,3.114285714,2.957317073,4.407142857,0.107956235,10,1,55,0.189,67.14,79.11,8.21,35,NA,0,0,-0.406266686
andtobagotrinidad,1966,154,0.049080789,3.155844156,3.029220779,3.61038961,4.350649351,0.055390537,NA,1,48.7,0.647,13.85,65.79,1,4,0.69,2,1,NA
andtobagotrinidad,1995,114,0.103416436,3.149122807,3.135964912,4.271929825,3.912280702,0.071303242,9,1,NA,0.647,9.62,63.3,1,33,3.56,2,0,-0.406266686
switzerland,2003,175,0.047836735,3.331395349,3.151162791,3.6,4.476744186,0.063155826,10,1,27.57,0.575,84.2,45.22,7.69,155,0.14,0,0,-0.406266686
costarica,1986,57,0.240381656,3.596491228,3.377192982,2.877192982,4.175438596,0.153408104,10,1,42,0.238,46.59,81.81,8.14,96,1.04,2,0,-0.406266686
newzealand,1984,462,0.01881524,3.246753247,3.04004329,4.088744589,4.095238095,0.042670155,10,1,26.24,0.363,83.62,93.71,1,107,3.46,2,0,-0.406266686
greece,2004,903,0.031077656,3.338669951,3.186576355,3.299003322,4.012315271,0.014760415,10,1,32.9,0.059,60.2,76.62,5.14,27,6.64,0,0,-0.406266686
netherlands,2006,24,0.215277778,3.041666667,3.041666667,2.5,4,0.079774252,10,1,27.36,0.077,80.69,80.35,150,89,2.25,1,0,-0.406266686
australia,1966,438,0.024373971,3.150684932,3.109589041,2.589041096,4.242009132,0.010926422,10,1,28.6,0.149,83.84,95.13,1,65,5.98,2,0,-0.406266686
romania,2004,1732,0.008685843,3.203233256,3.085450346,3.499422633,4.040415704,0.006298578,5,1,28.28,0.3,52.81,58.51,7.48,14,5.15,2,0,-0.406266686
statesunited,1976,1314,0.005933061,3.271118262,3.068785197,3.858447489,3.827835881,0.029833767,10,1,34.42,0.491,73.66,77.64,1,167,-0.22,0,0,-0.406266686
australia,1993,866,0.011739355,3.349884527,3.14665127,2.933025404,4.273672055,0.013692968,10,1,27.7,0.149,85.82,95.75,1,92,0.4,2,0,-0.406266686
israel,2009,33,0.258034894,2.090909091,2.5,4.121212121,4.212121212,0.177060587,10,1,NA,0.526,91.8,64.72,120,61,3.5,2,0,-0.406266686
kingdomunited,2005,3518,0.003357701,3.347838453,3.172354949,3.285389426,4.18486917,0.003020269,10,1,34,0.324,79.01,61.36,1,125,2.45,0,0,-0.406266686
guineabissau,1994,160,0.0640625,3.4125,3.1125,3.36875,4.5375,0.029978852,NA,0,44.3,0.818,31.48,45,NA,NA,2.1,2,0,NA
lankasri,1956,89,0.167781846,3.584269663,3.191011236,2.752808989,3.752808989,0.072976444,NA,1,NA,0.428,15.8,69.04,1,6,NA,2,0,-0.406266686
latvia,2006,95,0.031578947,3.063157895,3.015789474,3.389473684,3.936842105,0.063329112,8,1,37.65,0.585,67.94,60.98,20,16,10.6,2,0,-0.406266686
austria,1962,112,0.084183673,3.571428571,3.174107143,3.848214286,4.178571429,0.04670584,10,1,NA,0.126,64.84,93.77,6.6,24,5.54,0,0,-0.406266686
dominicanrepublic,1982,351,0.03075462,3.456896552,3.08908046,3.222222222,4.135057471,0.018836123,-3,1,43.29,0.387,52.32,NA,4.44,2,4.28,2,1,1.040790943
colombia,2002,418,0.039582427,3.339712919,3.215311005,3.748803828,4.145933014,0.018040021,9,1,56.7,0.656,72.68,42.45,5,44,1.68,2,1,0.491336559
italy,1958,327,0.016094792,3.311926606,3.010703364,3.425076453,4.232415902,0.011070972,10,1,NA,0.04,58.36,93.72,18.63,10,NA,0,0,-0.406266686
slovenia,2004,154,0.084499916,3.396103896,3.074675325,3.538961039,4.032467532,0.116581117,10,1,24.65,0.231,50.53,60.64,11,14,2.84,2,0,-0.406266686
statesunited,1950,958,0.005138576,3.206746464,3.042981502,4.355949896,4.206746464,0.007920983,10,1,36.02,0.491,64.2,NA,1,141,NA,0,0,-0.406266686
sweden,1968,199,0.041135325,3.206521739,3.067934783,3.190954774,4.086956522,0.06638814,10,1,25.66,0.189,79.44,89.29,8.32,51,3.37,0,0,-0.406266686
philippines,1992,910,0.005796401,3.28839779,3.047513812,3.401098901,4.219889503,0.007328442,NA,1,46.2,0.161,48.47,70.56,1,4,-0.58,2,1,NA
